"","yw","PRCP","TMAX"
"1",2019 W09,0.306666666666667,60
"2",2019 W10,0.23,56.8571428571429
"3",2019 W11,0.00571428571428571,65.4285714285714
"4",2019 W12,0.182857142857143,63.1428571428571
"5",2019 W13,0.04,65
"6",2019 W14,0.0514285714285714,64.4285714285714
"7",2019 W15,0.00571428571428571,63.2857142857143
"8",2019 W16,0.0357142857142857,63.4285714285714
"9",2019 W17,0,67
"10",2019 W18,0,64.1428571428571
"11",2019 W19,0.0242857142857143,63.5714285714286
"12",2019 W20,0.267142857142857,63.8571428571429
"13",2019 W21,0.104285714285714,62.1428571428571
"14",2019 W22,0.00571428571428571,62.5714285714286
"15",2019 W23,0,71.5714285714286
"16",2019 W24,0.00142857142857143,72.2857142857143
"17",2019 W25,0.00285714285714286,66.1428571428571
"18",2019 W26,0,66
"19",2019 W27,0.00142857142857143,64.1428571428571
"20",2019 W28,0,66.7142857142857
"21",2019 W29,0,68.2857142857143
"22",2019 W30,0,71.2857142857143
"23",2019 W31,0,67.1428571428571
"24",2019 W32,0.00285714285714286,70.2857142857143
"25",2019 W33,0,75.4285714285714
"26",2019 W34,0.00142857142857143,71
"27",2019 W35,0,74.3333333333333
